event_type,onset,duration
prompt,0.000,20.000
prompt,20.000,5.000
prompt,55.000,5.000
face_100,60.000,2.115
q0_100,63.333,3.500
face_050,72.346,3.500
q0_050,77.141,3.500
face_000,84.846,3.192
q0_000,88.667,3.500
face_025,98.769,2.218
q0_025,102.385,3.500
face_075,114.885,2.167
q0_075,118.013,3.500
prompt,124.410,5.000
face_100,129.410,2.679
q1_100,132.846,3.500
face_000,139.026,3.141
q1_000,142.846,3.500
face_025,149.897,2.577
q1_025,153.513,3.500
face_050,164.269,1.705
q1_050,166.885,3.500
face_075,172.192,3.090
q1_075,176.526,3.500
prompt,187.718,5.000
face_075,192.718,2.321
q0_075,195.923,3.500
face_000,204.500,2.833
q0_000,207.936,3.500
face_100,217.167,2.782
q0_100,220.962,3.500
face_025,225.615,1.910
q0_025,228.974,3.500
face_050,239.949,2.474
q0_050,243.205,3.500
prompt,249.167,5.000
face_075,254.167,1.808
q1_075,256.962,3.500
face_050,269.026,3.346
q1_050,273.077,3.500
face_025,279.692,1.859
q1_025,282.744,3.500
face_100,294.372,3.038
q1_100,298.218,3.500
face_000,302.436,1.756
q1_000,305.256,3.500
prompt,310.128,5.000
face_100,315.128,2.628
q0_100,319.103,3.500
face_075,324.846,3.397
q0_075,329.385,3.500
face_025,336.872,2.064
q0_025,340.308,3.500
face_050,344.308,2.731
q0_050,348.205,3.500
face_000,357.000,2.936
q0_000,361.359,3.500
prompt,369.282,5.000
face_075,374.282,3.244
q1_075,378.641,3.500
face_100,390.051,2.013
q1_100,392.795,3.500
face_000,401.154,3.449
q1_000,405.692,3.500
face_050,410.782,1.654
q1_050,413.090,3.500
face_025,418.615,1.962
q1_025,421.846,3.500
prompt,431.295,5.000
face_025,436.295,2.423
q0_025,439.654,3.500
face_000,446.487,1.551
q0_000,449.513,3.500
face_100,459.833,2.526
q0_100,463.218,3.500
face_075,472.885,2.372
q0_075,475.756,3.500
face_050,488.038,3.295
q0_050,492.654,3.500
prompt,504.500,5.000
face_100,509.500,1.603
q1_100,511.628,3.500
face_025,521.513,1.500
q1_025,523.590,3.500
face_075,528.026,2.269
q1_075,530.846,3.500
face_050,541.385,2.987
q1_050,545.205,3.500
face_000,552.474,2.885
q1_000,556.859,3.500
