-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      9.20     4.00     3.75
  0 (direct)     16.95     4.00     2.00
  2 (control)    22.95     4.00     1.25
  2 (control)    28.20     4.00     1.75
  2 (control)    33.95     4.00     4.50
  0 (direct)     42.45     4.00     6.50
  2 (control)    52.95     4.00     2.50
  2 (control)    59.45     4.00     3.00
  0 (direct)     66.45     4.00     2.25
  1 (profile)    72.70     4.00     2.50
  1 (profile)    79.20     4.00     2.75
  0 (direct)     85.95     4.00     5.25
  1 (profile)    95.20     4.00     7.00
  1 (profile)   106.20     4.00     3.50
  0 (direct)    113.70     4.00     1.50
  0 (direct)    119.20     4.00     5.00
  0 (direct)    128.20     4.00     5.25
  2 (control)   137.45     4.00     5.50
  1 (profile)   146.95     4.00     4.25
  0 (direct)    155.20     4.00     1.75
  2 (control)   160.95     4.00     5.75
  1 (profile)   170.70     4.00     5.75
  2 (control)   180.45     4.00     4.25
  1 (profile)   188.70     4.00     3.50
  1 (profile)   196.20     4.00     7.00
  2 (control)   207.20     4.00     6.75
  0 (direct)    217.95     4.00     6.00
  1 (profile)   227.95     4.00     2.75
  2 (control)   234.70     4.00     1.25
  1 (profile)   239.95     4.00     3.75
  2 (control)   247.70     4.00     1.00
  2 (control)   252.70     4.00     6.25
  0 (direct)    262.95     4.00     4.50
  2 (control)   271.45     4.00     1.00
  1 (profile)   276.45     4.00     6.75
  0 (direct)    287.20     4.00     5.00
  0 (direct)    296.20     4.00     6.25
  0 (direct)    306.45     4.00     3.00
  2 (control)   313.45     4.00     3.25
  1 (profile)   320.70     4.00     2.25
  1 (profile)   326.95     4.00     6.50
  1 (profile)   337.45     4.00     4.75
  2 (control)   346.20     4.00     5.50
  1 (profile)   355.70     4.00     1.50
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     1.25
  2 (control)    14.45     4.00     1.50
  2 (control)    19.95     4.00     1.50
  1 (profile)    25.45     4.00     4.50
  0 (direct)     33.95     4.00     4.25
  2 (control)    42.20     4.00     3.50
  1 (profile)    49.70     4.00     3.75
  1 (profile)    57.45     4.00     4.25
  2 (control)    65.70     4.00     3.00
  0 (direct)     72.70     4.00     2.75
  0 (direct)     79.45     4.00     5.25
  0 (direct)     88.70     4.00     5.25
  2 (control)    97.95     4.00     1.00
  1 (profile)   102.95     4.00     7.00
  1 (profile)   113.95     4.00     6.75
  2 (control)   124.70     4.00     2.75
  2 (control)   131.45     4.00     1.75
  0 (direct)    137.20     4.00     6.50
  0 (direct)    147.70     4.00     6.75
  0 (direct)    158.45     4.00     5.50
  2 (control)   167.95     4.00     5.75
  2 (control)   177.70     4.00     7.00
  1 (profile)   188.70     4.00     4.75
  1 (profile)   197.45     4.00     5.75
  0 (direct)    207.20     4.00     5.50
  2 (control)   216.70     4.00     2.25
  1 (profile)   222.95     4.00     3.25
  0 (direct)    230.20     4.00     2.00
  0 (direct)    236.20     4.00     5.00
  0 (direct)    245.20     4.00     2.50
  2 (control)   251.70     4.00     6.25
  0 (direct)    261.95     4.00     3.00
  1 (profile)   268.95     4.00     2.50
  2 (control)   275.45     4.00     5.00
  1 (profile)   284.45     4.00     6.00
  1 (profile)   294.45     4.00     1.00
  1 (profile)   299.45     4.00     4.50
  2 (control)   307.95     4.00     3.75
  1 (profile)   315.70     4.00     3.50
  1 (profile)   323.20     4.00     1.75
  0 (direct)    328.95     4.00     1.25
  0 (direct)    334.20     4.00     2.25
  2 (control)   340.45     4.00     6.25
  0 (direct)    350.70     4.00     6.50
  1 (profile)   361.20     4.00     0.00
