-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     2.75
  0 (direct)     15.95     4.00     5.75
  0 (direct)     25.70     4.00     3.00
  2 (control)    32.70     4.00     5.50
  1 (profile)    42.20     4.00     1.25
  2 (control)    47.45     4.00     5.00
  0 (direct)     56.45     4.00     5.25
  1 (profile)    65.70     4.00     2.75
  2 (control)    72.45     4.00     1.00
  0 (direct)     77.45     4.00     6.75
  0 (direct)     88.20     4.00     6.25
  1 (profile)    98.45     4.00     6.75
  2 (control)   109.20     4.00     7.00
  1 (profile)   120.20     4.00     3.50
  1 (profile)   127.70     4.00     1.00
  0 (direct)    132.70     4.00     5.25
  2 (control)   141.95     4.00     2.50
  2 (control)   148.45     4.00     3.25
  1 (profile)   155.70     4.00     5.75
  2 (control)   165.45     4.00     3.75
  1 (profile)   173.20     4.00     1.75
  1 (profile)   178.95     4.00     7.00
  2 (control)   189.95     4.00     2.25
  0 (direct)    196.20     4.00     1.50
  1 (profile)   201.70     4.00     2.50
  0 (direct)    208.20     4.00     5.50
  0 (direct)    217.70     4.00     6.50
  2 (control)   228.20     4.00     4.50
  0 (direct)    236.70     4.00     4.50
  2 (control)   245.20     4.00     4.25
  1 (profile)   253.45     4.00     4.25
  1 (profile)   261.70     4.00     6.25
  2 (control)   271.95     4.00     6.50
  0 (direct)    282.45     4.00     1.25
  1 (profile)   287.70     4.00     2.00
  1 (profile)   293.70     4.00     5.00
  0 (direct)    302.70     4.00     1.75
  2 (control)   308.45     4.00     3.75
  2 (control)   316.20     4.00     6.00
  0 (direct)    326.20     4.00     2.25
  0 (direct)    332.45     4.00     3.50
  2 (control)   339.95     4.00     1.50
  1 (profile)   345.45     4.00     4.75
  1 (profile)   354.20     4.00     3.00
  0 (direct)    361.20     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     9.20     4.00     3.00
  1 (profile)    16.20     4.00     5.00
  0 (direct)     25.20     4.00     1.75
  0 (direct)     30.95     4.00     2.00
  2 (control)    36.95     4.00     2.50
  0 (direct)     43.45     4.00     2.25
  1 (profile)    49.70     4.00     2.50
  2 (control)    56.20     4.00     3.25
  2 (control)    63.45     4.00     1.50
  2 (control)    68.95     4.00     4.25
  0 (direct)     77.20     4.00     6.75
  0 (direct)     87.95     4.00     5.75
  0 (direct)     97.70     4.00     1.00
  1 (profile)   102.70     4.00     6.75
  0 (direct)    113.45     4.00     5.00
  1 (profile)   122.45     4.00     4.25
  2 (control)   130.70     4.00     6.00
  2 (control)   140.70     4.00     1.00
  2 (control)   145.70     4.00     7.00
  0 (direct)    156.70     4.00     5.50
  1 (profile)   166.20     4.00     4.75
  1 (profile)   174.95     4.00     3.50
  2 (control)   182.45     4.00     4.50
  1 (profile)   190.95     4.00     7.00
  1 (profile)   201.95     4.00     6.50
  0 (direct)    212.45     4.00     5.25
  2 (control)   221.70     4.00     6.25
  0 (direct)    231.95     4.00     6.50
  1 (profile)   242.45     4.00     1.25
  1 (profile)   247.70     4.00     1.50
  2 (control)   253.20     4.00     1.75
  0 (direct)    258.95     4.00     3.75
  1 (profile)   266.70     4.00     3.50
  0 (direct)    274.20     4.00     3.75
  1 (profile)   281.95     4.00     3.00
  1 (profile)   288.95     4.00     2.75
  0 (direct)    295.70     4.00     1.25
  1 (profile)   300.95     4.00     6.25
  2 (control)   311.20     4.00     5.50
  2 (control)   320.70     4.00     5.25
  2 (control)   329.95     4.00     5.75
  0 (direct)    339.70     4.00     2.75
  0 (direct)    346.45     4.00     4.50
  1 (profile)   354.95     4.00     2.25
  2 (control)   361.20     4.00     0.00

